drivetrain,engine,exterior_color,interior_color,make,mileage,model,model_trim,price,title,transmission,trim,vehicle_mileage,vehicle_type,vin,year
4WD,3.6L V6 24V MPFI DOHC,Bright White Clearcoat,Black,Jeep,48839,Grand Cherokee,Jeep Grand Cherokee,29000.0,2018 Jeep Grand Cherokee Upland,Automatic,Upland,,Sport Utility,1C4RJFAG9JC352772,2018
4WD,1.5L I4 16V GDI DOHC Turbo,Blue,Charcoal Black,Ford,80696,Escape,Ford Escape,19000.0,2018 Ford Escape SEL,Automatic,SEL,,Sport Utility,1FMCU9HDXJUC83770,2018
AWD,3.5L V6 24V PDI DOHC,Silver,,Toyota,42499,Highlander,Toyota Highlander,33505.0,2018 Toyota Highlander XLE,Automatic,XLE,,Sport Utility,5TDJZRFHXJS548842,2018
FWD,2.0L I4 16V GDI DOHC Turbo,Silver,,Honda,27492,Accord Sedan,Honda Accord Sedan,29152.0,2018 Honda Accord Sedan Touring 2.0T,Automatic,Touring 2.0T,,4dr Car,1HGCV2F96JA044808,2018
FWD,3.5L V6 24V GDI DOHC,Silver,Black,Lexus,38680,RX,Lexus RX,35306.0,2018 Lexus RX 350,Automatic,RX 350,,Sport Utility,2T2ZZMCA9JC109360,2018
AWD,2.0L I4 16V GDI DOHC Turbo,Reflex Silver Metallic,Black,Volkswagen,39195,Tiguan Limited,Volkswagen Tiguan Limited,20908.0,2018 Volkswagen Tiguan Limited 2.0T,Automatic,2.0T,,Sport Utility,WVGBV7AX3JK004303,2018
4WD,3.5L V6 24V PDI DOHC,Blue,,Toyota,16628,Tacoma,Toyota Tacoma,34405.0,2018 Toyota Tacoma SR5,Automatic,SR5,,Crew Cab Pickup,3TMCZ5AN5JM159797,2018
FWD,1.5L I4 16V GDI DOHC Turbo,Red,Black,Honda,44960,Civic,Honda Civic,23643.0,2018 Honda Civic Touring,Variable,Touring,,4dr Car,2HGFC1F94JH641177,2018
FWD,4 Cyl - 2.0 L,Phantom Black,Gray,Hyundai,94516,Elantra,Hyundai Elantra,12098.0,2018 Hyundai Elantra SE,Automatic,SE,,4dr Car,5NPD74LF2JH240840,2018
4WD,2.7L V6 24V PDI DOHC Twin Turbo,Black,Gray,Ford,65113,F-150,Ford F-150,33253.0,2018 Ford F-150 XLT,Automatic,XLT,,Crew Cab Pickup,1FTEW1EP9JFD22330,2018
AWD,2.5L I4 16V MPFI DOHC,Blue,Black,Toyota,80011,RAV4,Toyota RAV4,24000.0,2018 Toyota RAV4 XLE,Automatic,XLE,,Sport Utility,2T3RFREV7JW813931,2018
4WD,3.5L V6 24V PDI DOHC,Gray,,Toyota,101670,Tacoma,Toyota Tacoma,32363.0,2018 Toyota Tacoma TRD Off Road,Automatic,TRD Off Road,,Crew Cab Pickup,3TMDZ5BN7JM039969,2018
FWD,1.6L I4 16V MPFI DOHC,Gray,Charcoal Black,Ford,13532,Fiesta,Ford Fiesta,16394.0,2018 Ford Fiesta SE,Automatic,SE,,Hatchback,3FADP4EJ2JM138052,2018
4WD,6.2L V8 16V GDI OHV,Black,Jet Black,Chevrolet,60164,Silverado 1500,Chevrolet Silverado 1500,36358.0,2018 Chevrolet Silverado 1500 LTZ,Automatic,LTZ,,Double Cab,1GCVKSEJXJZ124366,2018
AWD,2.4L I4 16V GDI DOHC,Pearl White,Gray,Hyundai,43049,Santa Fe Sport,Hyundai Santa Fe Sport,21814.0,2018 Hyundai Santa Fe Sport 2.4L,Automatic,2.4L,,Sport Utility,5NMZUDLB4JH071140,2018
AWD,2.5L H4 16V MPFI DOHC,Venetian Red Pearl,Gray,Subaru,46185,Forester,Subaru Forester,23563.0,2018 Subaru Forester 2.5i,Manual,2.5i,,Sport Utility,JF2SJAAC8JG445052,2018
4WD,2.0L I4 16V GDI DOHC,Moondust,Ebony Black,Ford,50735,EcoSport,Ford EcoSport,19154.0,2018 Ford EcoSport SE,Automatic,SE,,Sport Utility,MAJ6P1UL9JC193352,2018
4WD,3.5L V6 24V PDI DOHC Twin Turbo,Silver,11,Ford,28211,F-150,Ford F-150,44699.0,2018 Ford F-150 LARIAT,Automatic,LARIAT,,Crew Cab Pickup,1FTEW1EG4JFC58908,2018
AWD,2.0L I4 16V GDI DOHC Turbo,Satin Steel Metallic,Light Platinum with Jet Black Accents,Cadillac,37412,ATS Sedan,Cadillac ATS Sedan,26871.0,2018 Cadillac ATS Sedan AWD,Automatic,AWD,,4dr Car,1G6AE5RX0J0170351,2018
AWD,2.5L I4 16V MPFI DOHC,Silver,,Toyota,53287,RAV4,Toyota RAV4,25934.0,2018 Toyota RAV4 XLE,Automatic,XLE,,Sport Utility,JTMRFREV9JD240771,2018
4WD,2.0L I4 16V GDI DOHC Turbo,Ruby Red Metallic Tinted Clearcoat,Medium Light Stone,Ford,71302,Escape,Ford Escape,18665.0,2018 Ford Escape SE,Automatic,SE,,Sport Utility,1FMCU9G94JUC41396,2018
4WD,3.5L V6 24V PDI DOHC Twin Turbo,Black,Gray,Ford,49776,F-150,Ford F-150,35921.0,2018 Ford F-150 XL,Automatic,XL,,Crew Cab Pickup,1FTEW1EG6JKE54677,2018
FWD,3.5L V6 24V PDI DOHC,Gray,,Toyota,45709,Highlander,Toyota Highlander,29432.0,2018 Toyota Highlander LE,Automatic,LE,,Sport Utility,5TDZZRFH8JS287794,2018
4WD,3.5L V6 24V PDI DOHC,Gray,,Toyota,80395,Tacoma,Toyota Tacoma,31537.0,2018 Toyota Tacoma TRD Off Road,Automatic,TRD Off Road,,Extended Cab Pickup,5TFSZ5AN8JX137489,2018
FWD,1.8L I4 16V MPFI DOHC,Red,,Toyota,44827,Corolla,Toyota Corolla,20617.0,2018 Toyota Corolla LE,Variable,LE,,4dr Car,2T1BURHE7JC059250,2018
AWD,2.0L I4 16V GDI DOHC,Ruby Wine,Beige,Hyundai,27620,Tucson,Hyundai Tucson,24338.0,2018 Hyundai Tucson SEL Plus,Automatic,SEL Plus,,Sport Utility,KM8J3CA47JU642624,2018
4WD,1.5L I4 16V GDI DOHC Turbo,Brown,Charcoal Black,Ford,55571,Escape,Ford Escape,20000.0,2018 Ford Escape SE,Automatic,SE,,Sport Utility,1FMCU9GD4JUB18430,2018
AWD,2.5L I4 16V MPFI DOHC,Blue,,Toyota,67165,RAV4,Toyota RAV4,24717.0,2018 Toyota RAV4 LE,Automatic,LE,,Sport Utility,JTMBFREV8JJ210213,2018
FWD,4 Cyl - 1.5 L,Mosaic Black Metallic,Jet Black,Chevrolet,62725,Malibu,Chevrolet Malibu,17846.0,2018 Chevrolet Malibu LS,Automatic,LS,,4dr Car,1G1ZB5ST9JF291983,2018
AWD,2.0L I4 16V GDI DOHC Turbo,Twilight Black,Gray,Hyundai,106385,Santa Fe Sport,Hyundai Santa Fe Sport,19000.0,2017 Hyundai Santa Fe Sport 2.0T Ultimate,Automatic,2.0T Ultimate,,Sport Utility,5XYZWDLA3HG408533,2017
4WD,1.5L I4 16V GDI DOHC Turbo,White,,Ford,96151,Escape,Ford Escape,14894.0,2017 Ford Escape SE,Automatic,SE,,Sport Utility,1FMCU9GD5HUA97890,2017
AWD,2.4L I4 16V GDI DOHC,Remington Red,Satin Black,Kia,44588,Sorento,Kia Sorento,18541.0,2017 Kia Sorento LX,Automatic,LX,,Sport Utility,5XYPGDA31HG334151,2017
AWD,1.6L I4 16V GDI DOHC Turbo,Sedona Sunset,Black,Hyundai,81228,Tucson,Hyundai Tucson,19209.0,2017 Hyundai Tucson Limited,Automatic,Limited,,Sport Utility,KM8J3CA22HU392864,2017
RWD,2.5L I4 16V MPFI DOHC,Brilliant Silver,Graphite,Nissan,71110,Frontier,Nissan Frontier,17000.0,2017 Nissan Frontier S,Automatic,S,,Extended Cab Pickup,1N6BD0CT2HN747534,2017
4WD,4.6L V8 32V MPFI DOHC,Black,,Toyota,67763,Tundra 4WD Truck,Toyota Tundra 4WD Truck,30000.0,2017 Toyota Tundra 4WD Truck SR5,Automatic,SR5,,Crew Cab Pickup,5TFUM5F14HX071112,2017
FWD,1.6L I4 16V GDI DOHC,26.2 Yellow,Black,Hyundai,8568,Veloster,Hyundai Veloster,19500.0,2017 Hyundai Veloster Value Edition,Automatic,Value Edition,,3dr Car,KMHTC6AD7HU316262,2017
4WD,4.0L V6 24V MPFI DOHC Flexible Fuel,Brilliant Silver,Steel,Nissan,42710,Frontier,Nissan Frontier,28597.0,2017 Nissan Frontier S,Automatic,S,,Crew Cab Pickup,1N6AD0EV1HN774864,2017
AWD,2.5L I4 16V MPFI DOHC,Glacier White,Charcoal,Nissan,82733,Rogue,Nissan Rogue,18590.0,2017 Nissan Rogue SV,Variable,SV,,Sport Utility,5N1AT2MV1HC792453,2017
4WD,2.7L I4 16V MPFI DOHC,Gray,,Toyota,199462,Tacoma,Toyota Tacoma,19000.0,2017 Toyota Tacoma SR,Automatic,SR,,Extended Cab Pickup,5TFSX5ENXHX053541,2017
FWD,1.5L I4 16V GDI DOHC Turbo,Blue Velvet Metallic,Jet Black,Chevrolet,72162,Malibu,Chevrolet Malibu,16970.0,2017 Chevrolet Malibu LT,Automatic,LT,,4dr Car,1G1ZE5ST9HF287823,2017
AWD,2.4L I4 16V GDI DOHC,Summit White,Jet Black,Chevrolet,81205,Equinox,Chevrolet Equinox,15847.0,2017 Chevrolet Equinox LT,Automatic,LT,,Sport Utility,2GNFLFEK6H6158223,2017
4WD,3.6L V6 24V MPFI DOHC,Xtreme Purple Pearlcoat,Black,Jeep,46880,Wrangler Unlimited,Jeep Wrangler Unlimited,30333.0,2017 Jeep Wrangler Unlimited Sport,Automatic,Sport,,Convertible,1C4BJWDG1HL650563,2017
AWD,2.0L I4 16V GDI DOHC Turbo,Gray,Black,Audi,44312,Q3,Audi Q3,26000.0,2017 Audi Q3 Prestige,Automatic,Prestige,,Sport Utility,WA1GCCFS9HR004632,2017
AWD,3.5L V6 24V GDI SOHC,White,Tan,Honda,45238,Ridgeline,Honda Ridgeline,30713.0,2017 Honda Ridgeline RTL-E,Automatic,RTL-E,,Crew Cab Pickup,5FPYK3F70HB038321,2017
4WD,2.3L I4 16V GDI DOHC Turbo,Red,Black,Ford,44914,Explorer,Ford Explorer,27564.0,2017 Ford Explorer Limited,Automatic,Limited,,Sport Utility,1FM5K8FHXHGA52231,2017
4WD,6.7L V8 32V DDI OHV Turbo Diesel,Black,Black,Ford,114177,Super Duty F-350 SRW,Ford Super Duty F-350 SRW,55300.0,2017 Ford Super Duty F-350 SRW Lariat,Automatic,Lariat,,Crew Cab Pickup,1FT8W3BT4HED47999,2017
4WD,6.2L V8 16V MPFI SOHC Flexible Fuel,Gray,Gray,Ford,45849,Super Duty F-250 SRW,Ford Super Duty F-250 SRW,44000.0,2017 Ford Super Duty F-250 SRW XLT,Automatic,XLT,,Crew Cab Pickup,1FT7W2B65HEC93158,2017
4WD,5.3L V8 16V GDI OHV,Summit White,Cocoa/Dune,GMC,57574,Sierra 1500,GMC Sierra 1500,31113.0,2017 GMC Sierra 1500 SLE,Automatic,SLE,,Double Cab,1GTV2MEC2HZ111621,2017
AWD,3.0L V6 24V GDI DOHC Supercharged,Black,Jet / Light Oyster,Jaguar,56824,F-PACE,Jaguar F-PACE,31653.0,2017 Jaguar F-PACE 35t R-Sport,Automatic,35t R-Sport,,Sport Utility,SADCL2BVXHA056059,2017
FWD,2.4L I4 16V GDI DOHC,Scarlet Red,Beige,Hyundai,39807,Sonata,Hyundai Sonata,18832.0,2017 Hyundai Sonata Sport,Automatic,Sport,,4dr Car,5NPE34AFXHH512368,2017
AWD,2.0L I4 16V GDI DOHC,Dazzling White,Gray,Hyundai,76064,Tucson,Hyundai Tucson,18583.0,2017 Hyundai Tucson SE,Automatic,SE,,Sport Utility,KM8J3CA40HU401806,2017
AWD,2.5L I4 16V MPFI DOHC Hybrid,White,,Toyota,74531,RAV4 Hybrid,Toyota RAV4 Hybrid,26310.0,2017 Toyota RAV4 Hybrid XLE,Variable,XLE,,Sport Utility,JTMRJREV8HD131906,2017
FWD,4 Cyl - 2.0 L,Black,,Ford,145261,Focus,Ford Focus,3498.0,2017 Ford Focus S,,S,,4dr Car,1FADP3E28HL311300,2017
4WD,5.6L V8 32V GDI DOHC,Gun Metallic,Black,Nissan,41298,Titan XD,Nissan Titan XD,37576.0,2017 Nissan Titan XD SL,Automatic,SL,,Crew Cab Pickup,1N6AA1F46HN516375,2017
AWD,3.6L V6 24V GDI DOHC,Summit White,Ebony,Chevrolet,70555,Traverse,Chevrolet Traverse,22199.0,2017 Chevrolet Traverse LT,Automatic,LT,,Sport Utility,1GNKVGKD8HJ237805,2017
AWD,2.0L I4 16V GDI DOHC Turbo,Gray,Ebony,Ford,100952,Edge,Ford Edge,16901.0,2017 Ford Edge SE,Automatic,SE,,Sport Utility,2FMPK4G99HBB86213,2017
AWD,2.0L I4 16V GDI DOHC,Caribbean Blue,Black,Hyundai,70730,Tucson,Hyundai Tucson,19632.0,2017 Hyundai Tucson SE Plus,Automatic,SE Plus,,Sport Utility,KM8J3CA4XHU424641,2017
AWD,3.3L V6 24V GDI DOHC,Circuit Silver,Gray,Hyundai,47438,Santa Fe,Hyundai Santa Fe,25000.0,2017 Hyundai Santa Fe Limited Ultimate,Automatic,Limited Ultimate,,Sport Utility,KM8SRDHFXHU254863,2017
AWD,2.5L I4 16V MPFI DOHC Hybrid,Gray,,Toyota,141730,RAV4 Hybrid,Toyota RAV4 Hybrid,24670.0,2017 Toyota RAV4 Hybrid SE,Variable,SE,,Sport Utility,JTMJJREV6HD124093,2017
AWD,3.3L V6 24V GDI DOHC,Remington Red,Satin Black,Kia,111322,Sorento,Kia Sorento,14356.0,2016 Kia Sorento EX,Automatic,EX,,Sport Utility,5XYPHDA54GG072252,2016
AWD,3.5L V6 24V MPFI SOHC,Gray,,Acura,94958,RDX,Acura RDX,20000.0,2016 Acura RDX,Automatic,Base,,Sport Utility,5J8TB4H30GL006548,2016
AWD,2.0L I4 16V GDI DOHC Turbo,Red,BLACK,Ford,134341,Edge,Ford Edge,13691.0,2016 Ford Edge SEL,Automatic,SEL,,Sport Utility,2FMPK4J9XGBC08534,2016
4WD,1.6L I4 16V GDI DOHC Turbo,Red,,Ford,110931,Escape,Ford Escape,13000.0,2016 Ford Escape SE,Automatic,SE,,Sport Utility,1FMCU9GX2GUA57212,2016
AWD,2.0L I4 16V GDI DOHC Turbo,Gray,,Audi,61369,A3,Audi A3,20500.0,2016 Audi A3 2.0T Premium Plus,Automatic,2.0T Premium Plus,,4dr Car,WAUE8GFF2G1047504,2016
AWD,1.4L I4 16V GDI DOHC Turbo,Carbon Black Metallic,Ebony,Buick,66168,Encore,Buick Encore,16864.0,2016 Buick Encore Sport Touring,Automatic,Sport Touring,,Sport Utility,KL4CJ2SMXGB580551,2016
FWD,1.6L I4 16V MPFI DOHC,Super Black,Charcoal,Nissan,30053,Versa,Nissan Versa,14000.0,2016 Nissan Versa S Plus,Variable,S Plus,,4dr Car,3N1CN7AP0GL844641,2016
4WD,3.2L V6 24V MPFI DOHC,Bright White Clearcoat,Black,Jeep,128521,Cherokee,Jeep Cherokee,15462.0,2016 Jeep Cherokee Limited,Automatic,Limited,,Sport Utility,1C4PJMDS7GW156378,2016
AWD,2.0L I4 16V GDI DOHC,Ash Black,Black,Hyundai,135708,Tucson,Hyundai Tucson,14407.0,2016 Hyundai Tucson SE,Automatic,SE,,Sport Utility,KM8J3CA42GU055787,2016
AWD,2.4L I4 16V GDI DOHC,Black Cherry,Black,Kia,111554,Sportage,Kia Sportage,14710.0,2016 Kia Sportage LX,Automatic,LX,,Sport Utility,KNDPBCAC2G7881076,2016
FWD,1.0L I3 12V GDI DOHC Turbo,Red,,Ford,77007,Focus,Ford Focus,13372.0,2016 Ford Focus SE,6-Speed,SE,,Hatchback,1FADP3KE2GL354088,2016
FWD,1.8L I4 16V MPFI DOHC,Green,,Toyota,39978,Corolla,Toyota Corolla,19450.0,2016 Toyota Corolla LE,Variable,LE,,4dr Car,2T1BURHE3GC692109,2016
FWD,4 Cyl - 2.5 L,Silver,,Toyota,44619,Camry,Toyota Camry,0.0,2016 Toyota Camry,Automatic,Base,,4dr Car,4T4BF1FK8GR521185,2016
4WD,5.3L V8 16V GDI OHV,Onyx Black,Jet Black,GMC,129061,Sierra 1500,GMC Sierra 1500,23361.0,2015 GMC Sierra 1500 SLE,Automatic,SLE,,Pickup Crew Cab,3GTU2UEC1FG126040,2015
FWD,2.0L I4 16V GDI DOHC Turbo,White,,Lincoln,49592,MKZ,Lincoln MKZ,18376.0,2015 Lincoln MKZ,Automatic,Base,,4dr Car,3LN6L2G9XFR616956,2015
AWD,2.4L I4 16V GDI DOHC,Summit White,Jet Black,GMC,121862,Terrain,GMC Terrain,12112.0,2015 GMC Terrain SLE,Automatic,SLE,,Sport Utility,2GKFLWEK3F6326491,2015
AWD,2.4L I4 16V GDI DOHC,Garnet Red Mica,Beige Two-tone,Hyundai,84624,Tucson,Hyundai Tucson,15129.0,2015 Hyundai Tucson SE,Automatic,SE,,Sport Utility,KM8JUCAG2FU069761,2015
AWD,2.0L H4 16V MPFI DOHC,Ice Silver Metallic,Black,Subaru,37664,Impreza Wagon,Subaru Impreza Wagon,20605.0,2015 Subaru Impreza Wagon 2.0i Sport Limited,Variable,2.0i Sport Limited,,Hatchback,JF1GPAZ60F8317218,2015
4WD,4.0L V6 24V MPFI DOHC,Black,,Toyota,73329,4Runner,Toyota 4Runner,29492.0,2015 Toyota 4Runner SR5,Automatic,SR5,,Sport Utility,JTEBU5JR9F5217769,2015
FWD,3.5L V6 24V MPFI DOHC,Maroon,,Toyota,87215,Sienna,Toyota Sienna,21257.0,2015 Toyota Sienna LE,Automatic,LE,,"Mini-van, Passenger",5TDKK3DC9FS671522,2015
4WD,4.6L V8 32V MPFI DOHC,Silver,,Toyota,116460,Tundra 4WD Truck,Toyota Tundra 4WD Truck,22676.0,2015 Toyota Tundra 4WD Truck SR5,Automatic,SR5,,Crew Cab Pickup,5TFUM5F17FX060747,2015
4WD,6.7L V8 32V DDI OHV Turbo Diesel,Black,,Ford,83631,Super Duty F-250 SRW,Ford Super Duty F-250 SRW,39868.0,2015 Ford Super Duty F-250 SRW XLT,Automatic,XLT,,Crew Cab Pickup,1FT7W2BTXFEB34820,2015
AWD,2.5L I4 16V MPFI DOHC,Red,,Toyota,126762,RAV4,Toyota RAV4,17121.0,2015 Toyota RAV4 XLE,Automatic,XLE,,Sport Utility,2T3RFREV6FW279618,2015
FWD,2.5L I4 16V MPFI DOHC,Red,,Ford,37878,Fusion,Ford Fusion,16951.0,2015 Ford Fusion SE,Automatic,SE,,4dr Car,3FA6P0H76FR121928,2015
FWD,2.5L I4 16V MPFI DOHC,White,Gray,Toyota,94331,Camry,Toyota Camry,15433.0,2015 Toyota Camry LE,Automatic,LE,,4dr Car,4T4BF1FK4FR478852,2015
AWD,2.5L I4 16V MPFI DOHC,Silver,,Toyota,111496,RAV4,Toyota RAV4,17497.0,2015 Toyota RAV4 LE,Automatic,LE,,Sport Utility,JTMBFREV6FJ033409,2015
4WD,5.7L V8 32V MPFI DOHC,White,,Toyota,103795,Land Cruiser,Toyota Land Cruiser,44591.0,2014 Toyota Land Cruiser,Automatic,Base,,Sport Utility,JTMHY7AJ7E4027269,2014
AWD,3.5L V6 24V MPFI DOHC,White,,Toyota,115226,Venza,Toyota Venza,15845.0,2014 Toyota Venza XLE,Automatic,XLE,,Sport Utility,4T3BK3BB8EU097597,2014
AWD,4.7L V8 32V GDI DOHC Twin Turbo,Silver,,Mercedes-Benz,49887,S-Class,Mercedes-Benz S-Class,36817.0,2014 Mercedes-Benz S 550,Automatic,S 550,,4dr Car,WDDUG8FB9EA048754,2014
4WD,3.5L V6 24V MPFI DOHC,Brown,,Ford,120142,Explorer,Ford Explorer,15241.0,2014 Ford Explorer XLT,Automatic,XLT,,Sport Utility,1FM5K8D80EGA57579,2014
FWD,6 Cyl - 3.6 L,Deep Cherry Red Crystal Pearlcoat,Black/Light Graystone,Chrysler,125534,Town & Country,Chrysler Town & Country,4998.0,2014 Chrysler Town & Country Touring,Automatic,Touring,,"Mini-van, Passenger",2C4RC1BG5ER349747,2014
FWD,1.8L I4 16V MPFI DOHC,Windy Sea Blue,Gray,Hyundai,131889,Elantra,Hyundai Elantra,0.0,2014 Hyundai Elantra SE,Automatic,SE,,4dr Car,KMHDH4AE8EU110320,2014
FWD,1.4L I4 16V MPFI DOHC Turbo,Tungsten Metallic,Jet Black,Chevrolet,110828,Cruze,Chevrolet Cruze,10328.0,2014 Chevrolet Cruze 2LT,Automatic,2LT,,4dr Car,1G1PE5SB6E7386247,2014
4WD,3.6L V6 24V MPFI DOHC,True Blue Pearl,Black Interior,Jeep,143224,Wrangler,Jeep Wrangler,14700.0,2013 Jeep Wrangler Sport,Manual,Sport,,Convertible,1C4AJWAG3DL608972,2013
AWD,4 Cyl - 2.0 L,Desert Khaki,Black,Subaru,121031,XV Crosstrek,Subaru XV Crosstrek,8998.0,2013 Subaru XV Crosstrek Limited,Variable,Limited,,Station Wagon,JF2GPAGCXD2820114,2013
FWD,2.4L I4 16V MPFI DOHC Hybrid,Silver Frost Metallic,Gray,Hyundai,54065,Sonata Hybrid,Hyundai Sonata Hybrid,16103.0,2013 Hyundai Sonata Hybrid Limited w/Panoramic Sunroof Pkg,Automatic,Limited w/Panoramic Sunroof Pkg,,4dr Car,KMHEC4A46DA065842,2013
FWD,1.8L I4 16V MPFI DOHC,Midnight Black,Beige,Hyundai,118296,Elantra,Hyundai Elantra,8996.0,2013 Hyundai Elantra GLS PZEV,Automatic,GLS PZEV,,4dr Car,5NPDH4AE5DH384376,2013
AWD,2.5L I4 16V MPFI DOHC,Black Amethyst,Black,Nissan,92014,Rogue,Nissan Rogue,11782.0,2013 Nissan Rogue SV,Variable,SV,,Sport Utility,JN8AS5MV0DW115173,2013
AWD,4 Cyl - 2.0 L,Venetian Red Pearl,Black,Subaru,87785,Impreza Wagon,Subaru Impreza Wagon,13866.0,2013 Subaru Impreza Wagon 2.0i Sport Premium,Manual,2.0i Sport Premium,,Station Wagon,JF1GPAL67D1846776,2013
FWD,4 Cyl - 1.8 L,Midnight Black,Gray,Hyundai,70434,Elantra,Hyundai Elantra,0.0,2013 Hyundai Elantra GLS PZEV,Automatic,GLS PZEV,,4dr Car,5NPDH4AE2DH198908,2013
4WD,6.7L V8 32V DDI OHV Turbo Diesel,Silver,,Ford,93509,Super Duty F-250 SRW,Ford Super Duty F-250 SRW,35843.0,2012 Ford Super Duty F-250 SRW Lariat,Automatic,Lariat,,Crew Cab Pickup,1FT7W2BT0CEA99359,2012
4WD,2.4L I4 16V MPFI DOHC,,,Honda,166101,CR-V,Honda CR-V,11812.0,2012 Honda CR-V EX-L,Automatic,EX-L,,Sport Utility,5J6RM4H78CL041977,2012
FWD,1.8L I4 16V MPFI SOHC,Gray,,Honda,121913,Civic,Honda Civic,11497.0,2012 Honda Civic EX-L,Automatic,EX-L,,4dr Car,2HGFB2F97CH572237,2012
FWD,2.5L I4 16V MPFI DOHC,Gray,Gray,Toyota,117181,Camry,Toyota Camry,13882.0,2012 Toyota Camry XLE,Automatic,XLE,,4dr Car,4T1BF1FK7CU168152,2012
4WD,3.5L V6 24V MPFI DOHC,Blue,,Toyota,156591,Highlander,Toyota Highlander,13358.0,2012 Toyota Highlander,Automatic,Base,,Sport Utility,5TDBK3EH9CS117435,2012
AWD,3.5L V6 24V MPFI DOHC,Twilight Black,Cocoa Black,Hyundai,112683,Santa Fe,Hyundai Santa Fe,11231.0,2012 Hyundai Santa Fe SE,Automatic,SE,,Sport Utility,5XYZHDAG7CG134411,2012
4WD,6.7L V8 32V DDI OHV Turbo Diesel,White,,Ford,136424,Super Duty F-350 SRW,Ford Super Duty F-350 SRW,28662.0,2011 Ford Super Duty F-350 SRW Lariat,Automatic,Lariat,,Crew Cab Pickup,1FT8W3BTXBED00693,2011
FWD,2.4L I4 16V MPFI DOHC,Dark Cherry,Black,Kia,113252,Sorento,Kia Sorento,8584.0,2011 Kia Sorento LX,Automatic,LX,,Sport Utility,5XYKT3A14BG131552,2011
FWD,4 Cyl - 2.5 L,Green,,Toyota,127610,Camry,Toyota Camry,0.0,2011 Toyota Camry,,Base,,4dr Car,4T4BF3EK9BR156988,2011
FWD,3.5L V6 24V MPFI DOHC,Black,Gray,Ford,102478,Taurus,Ford Taurus,9650.0,2010 Ford Taurus Limited,Automatic,Limited,,4dr Car,1FAHP2FW9AG143131,2010
4WD,2.5L I4 16V MPFI DOHC,Black,,Toyota,196541,RAV4,Toyota RAV4,0.0,2010 Toyota RAV4,Automatic,Base,,Sport Utility,JTMBF4DV6AD029386,2010
4WD,2.4L I4 16V MPFI DOHC,Deep Water Blue Pearl,Dark Slate Gray,Jeep,124129,Patriot,Jeep Patriot,0.0,2009 Jeep Patriot Sport,Variable,Sport,,Sport Utility,1J4FF28B29D121462,2009
4WD,3.3L V6 24V MPFI DOHC Hybrid,Green,,Toyota,89034,Highlander Hybrid,Toyota Highlander Hybrid,18182.0,2009 Toyota Highlander Hybrid,Variable,Base,,Sport Utility,JTEEW41AX92036634,2009
AWD,3.5L V6 24V MPFI DOHC,Black,,Mercedes-Benz,98783,E-Class,Mercedes-Benz E-Class,9397.0,2008 Mercedes-Benz E 350,Automatic,E 350,,4dr Car,WDBUF87X98B189618,2008
4WD,3.5L V6 24V MPFI DOHC,Magnetic Gray Metallic,Black,Toyota,136694,Highlander,Toyota Highlander,12000.0,2008 Toyota Highlander Sport,Automatic,Sport,,Sport Utility,JTEES43A682047332,2008
4WD,8 Cyl - 5.4 L,Green,,Ford,119671,F-150,Ford F-150,10998.0,2007 Ford F-150,Automatic,Base,,Extended Cab Pickup,1FTPX14567FB53267,2007
FWD,2.0L I4 16V MPFI DOHC,Silver,,Ford,145143,Focus,Ford Focus,0.0,2007 Ford Focus,,Base,,4dr Car,1FAFP34N87W250225,2007
4WD,4.0L V6 24V MPFI DOHC,Silver,,Toyota,72847,Tacoma,Toyota Tacoma,15456.0,2005 Toyota Tacoma,Automatic,Base,,Extended Cab Pickup,5TEUU42N95Z091802,2005
RWD,8 Cyl - 5.0 L,Red,,Mercedes-Benz,51175,CLK-Class,Mercedes-Benz CLK-Class,6898.0,2005 Mercedes-Benz CLK-Class 5.0L,Automatic,5.0L,,Convertible,WDBTK75G55T039743,2005
RWD,3.9L V8 32V MPFI DOHC,Black,Black Ink,Ford,68635,Thunderbird,Ford Thunderbird,15499.0,2003 Ford Thunderbird,Automatic,Base,,Convertible,1FAHP60A93Y112205,2003
